iter	Passed	Remaining
0	22	22118
1	40	20329
2	59	19805
3	77	19332
4	96	19109
5	115	19178
6	134	19136
7	153	19061
8	171	18917
9	190	18902
10	209	18818
11	228	18790
12	247	18825
13	266	18778
14	286	18794
15	304	18756
16	324	18780
17	344	18775
18	363	18766
19	382	18739
20	401	18739
21	420	18706
22	440	18698
23	459	18668
24	477	18640
25	496	18612
26	516	18602
27	535	18583
28	553	18544
29	572	18525
30	592	18519
31	611	18496
32	630	18464
33	648	18430
34	667	18404
35	685	18367
36	703	18322
37	722	18285
38	740	18242
39	759	18221
40	777	18184
41	795	18146
42	813	18112
43	832	18077
44	850	18051
45	868	18018
46	887	17987
47	905	17961
48	923	17930
49	942	17907
50	960	17877
51	979	17849
52	997	17818
53	1015	17792
54	1034	17766
55	1052	17744
56	1071	17725
57	1089	17701
58	1107	17671
59	1127	17656
60	1145	17634
61	1163	17606
62	1182	17580
63	1201	17568
64	1219	17543
65	1238	17523
66	1257	17504
67	1275	17477
68	1293	17453
69	1311	17429
70	1330	17404
71	1348	17381
72	1367	17359
73	1385	17339
74	1403	17310
75	1421	17286
76	1439	17260
77	1458	17237
78	1476	17209
79	1494	17184
80	1512	17157
81	1528	17108
82	1546	17086
83	1565	17071
84	1585	17071
85	1605	17067
86	1626	17064
87	1645	17058
88	1665	17050
89	1685	17041
90	1704	17031
91	1724	17021
92	1744	17013
93	1763	16992
94	1782	16978
95	1800	16958
96	1818	16931
97	1837	16908
98	1855	16886
99	1873	16861
100	1891	16836
101	1909	16813
102	1928	16791
103	1946	16772
104	1965	16750
105	1983	16730
106	2002	16708
107	2020	16688
108	2038	16666
109	2056	16642
110	2075	16622
111	2093	16599
112	2112	16578
113	2129	16550
114	2148	16534
115	2166	16512
116	2185	16492
117	2202	16465
118	2221	16443
119	2239	16422
120	2257	16402
121	2276	16380
122	2294	16361
123	2312	16339
124	2330	16316
125	2349	16294
126	2367	16275
127	2385	16254
128	2404	16236
129	2423	16216
130	2441	16194
131	2459	16174
132	2477	16152
133	2496	16131
134	2514	16112
135	2532	16091
136	2551	16073
137	2570	16053
138	2588	16033
139	2606	16009
140	2625	15992
141	2642	15968
142	2660	15946
143	2679	15925
144	2697	15907
145	2716	15887
146	2734	15866
147	2754	15856
148	2773	15838
149	2791	15820
150	2810	15802
151	2829	15785
152	2848	15768
153	2867	15750
154	2885	15732
155	2903	15711
156	2922	15689
157	2940	15670
158	2958	15648
159	2976	15627
160	2995	15607
161	3013	15589
162	3031	15567
163	3049	15545
164	3068	15527
165	3086	15508
166	3105	15489
167	3123	15468
168	3141	15449
169	3160	15429
170	3179	15412
171	3198	15395
172	3216	15376
173	3235	15357
174	3253	15338
175	3271	15318
176	3290	15300
177	3309	15282
178	3327	15262
179	3346	15243
180	3364	15223
181	3382	15203
182	3400	15183
183	3419	15163
184	3437	15143
185	3455	15123
186	3473	15103
187	3492	15084
188	3510	15064
189	3528	15044
190	3547	15024
191	3565	15002
192	3583	14984
193	3601	14964
194	3619	14943
195	3638	14923
196	3656	14904
197	3674	14884
198	3692	14863
199	3711	14846
200	3730	14827
201	3748	14808
202	3767	14790
203	3786	14773
204	3804	14755
205	3823	14735
206	3841	14716
207	3859	14697
208	3878	14678
209	3896	14659
210	3914	14639
211	3933	14620
212	3952	14602
