PubMed ID,Original Details,Summarized Details
39567222,"1. HIV Med. 2024 Nov 20. doi: 10.1111/hiv.13737. Online ahead of print.

Comparing short-term mortality between people with and without HIV admitted to 
the intensive care unit: A single-centre matched cohort study (2000-2019).

Bakewell N(1)(2), Kanitkar T(3)(4), Dissanayake O(4), Symonds M(4), Rimmer S(3), 
Adlakha A(3), Lipman MC(4)(5)(6), Bhagani S(4), Agarwal B(3), Miller RF(4)(7), 
Sabin CA(1)(2).

Author information:
(1)Institute for Global Health, University College London, London, UK.
(2)National Institute for Health and Care Research (NIHR) Health Protection 
Research Unit (HPRU) in Blood Borne and Sexually Transmitted Infections, 
University College London, London, UK.
(3)Intensive Care Unit, Royal Free Hospital, Royal Free London NHS Foundation 
Trust, London, UK.
(4)HIV Services, Royal Free Hospital, Royal Free London NHS Foundation Trust, 
London, UK.
(5)UCL Respiratory, Division of Medicine, University College London, London, UK.
(6)Respiratory Medicine, Royal Free Hospital, Royal Free London NHS Foundation 
Trust, London, UK.
(7)Centre for Clinical Research in Infection and Sexual Health, Institute for 
Global Health, University College London, London, UK.

OBJECTIVES: The survival rate of people with HIV admitted to intensive care 
units (ICUs) is approaching that of people without HIV. We conducted a 
matched-cohort study of people with and without HIV admitted to ICU at a large 
hospital to compare short-term mortality, during 2000-2019.
METHODS: People with HIV were matched to people without HIV (1:2) on age, sex, 
admission year and Acute Physiology and Chronic Health Evaluation (APACHE)-II 
score. Applying logistic regression models fitted using independence estimating 
equations, we describe population-averaged associations of HIV with short-term 
(in-ICU, in-hospital) mortality during a patient's first admission to ICU, and 
explore whether these varied by year.
RESULTS: A total of 177 people with HIV were matched to 354 people without HIV 
(71.2% vs. 71.2% male; median age: 47 vs. 48 years, median APACHE-II: 18 vs. 17, 
median admission year: 2013 vs. 2013). Among people with HIV, 73.4% were on 
antiretroviral therapy, 51.2% had HIV-RNA ≤50 copies/mL and median CD4 T-cell 
count was 132 cells/ μ L. People with HIV had higher in-ICU (24.3% vs. 15.3%) 
and in-hospital (31.6% vs. 20.1%) mortality. People with HIV had 1.69-fold 
higher odds (95% confidence interval: 1.03-2.76) of in-ICU mortality and 1.86 
(1.19-2.91) higher odds of in-hospital mortality than people without HIV, 
adjusted for age, sex, year and APACHE-II. There was no evidence that these 
associations varied by year (p-interaction-in-ICU = 0.90; 
p-interaction-in-hospital = 0.46).
CONCLUSIONS: Our findings suggest that although outcomes have improved over 
time, people with HIV continue to have higher short-term in-ICU and in-hospital 
mortality following ICU admission compared with people without HIV with similar 
characteristics.

© 2024 The Author(s). HIV Medicine published by John Wiley & Sons Ltd on behalf 
of British HIV Association.

DOI: 10.1111/hiv.13737
PMID: 39567222","People with HIV had higher in-ICU (24.3% vs. 15.3%) and in-hospital (31.6% vs 20.1%) mortality. People with HIV were matched to people without HIV (1:2) on age, sex, admission year and Acute Physiology and Chronic Health Evaluation (APACHE)-II score."
39544616,"1. Cureus. 2024 Oct 15;16(10):e71534. doi: 10.7759/cureus.71534. eCollection 2024
 Oct.

Non-COVID Admissions to the ICU After COVID Vaccination: A Multicenter Study.

Havaldar AA(1), Sheshala K(2), Kumar R(3), Chennabasappa A(4), Thomas RR(1), 
Selvam S(5).

Author information:
(1)Critical Care Medicine, St. John's Medical College Hospital, Bengaluru, IND.
(2)Critical Care Medicine, Yashoda Hospital, Hyderabad, IND.
(3)Anesthesiology, Rajendra Institute of Medical Sciences, Ranchi, IND.
(4)Critical Care Medicine, Jagadguru Sri Shivarathreeshwara Medical College and 
Hospital, Mysuru, IND.
(5)Biostatistics, St John's Research Institute, Bengaluru, IND.

INTRODUCTION: The vaccination drive for COVID-19 was launched in India after the 
authorization of ChAdOx1 nCov-19 (Covishield), an adenoviral vector vaccine, and 
BBV152 COVID-19 (Covaxin), an inactivated virus vaccine. As stated by the CDC, 
vaccine-related adverse events can happen. In this study, we aimed to assess the 
timing of the COVID vaccination and admission diagnosis and their effect on ICU 
mortality. The time from vaccination can help identify adverse events directly 
related to vaccination.  Methods: A retrospective cohort study was conducted 
across four centers in India. Patients who took the first or second dose of any 
vaccines and were admitted with non-COVID illness to the ICU were included in 
the study. Patients were categorized based on the time interval from vaccination 
as ≤42 days or >42 days. The primary outcome was ICU mortality. The secondary 
outcomes were the length of ICU stay and duration of mechanical ventilation.
RESULTS: A total of 175 patients were included in the study. The mean age was 
53.49 (15.89) years, and 61.14% were males. The ICU mortality was 24.57% (18.38% 
to 31.63%). Thromboembolic events such as acute coronary syndrome (ACS), 
cerebrovascular accident (CVA), and mesenteric ischemia were seen in 7.43%, 
7.43%, and 1.14% of patients, respectively. Six patients (3.43%) developed 
neuromuscular illness. The mortality was higher in patients >66 years, followed 
by ≤35 years of age when admitted ≤42 days of vaccination (p=0.008). The 
mortality was higher in cerebrovascular disorders and was clinically significant 
(p<0.001).
CONCLUSION: Patients developed thromboembolic events and neuromuscular diseases 
requiring ICU admission post-COVID vaccination. We observed a significantly 
higher mortality in the age groups >66 years and ≤35 years when admitted within 
42 days of COVID vaccination. Patients admitted with cerebrovascular diseases 
also had higher mortality.

Copyright © 2024, Havaldar et al.

DOI: 10.7759/cureus.71534
PMCID: PMC11562690
PMID: 39544616

Conflict of interest statement: Human subjects: Consent was obtained or waived 
by all participants in this study. Institutional Ethics Committee, St. John's 
Medical College Hospital issued approval 149/2021. Animal subjects: All authors 
have confirmed that this study did not involve animal subjects or tissue. 
Conflicts of interest: In compliance with the ICMJE uniform disclosure form, all 
authors declare the following: Payment/services info: All authors have declared 
that no financial support was received from any organization for the submitted 
work. Financial relationships: All authors have declared that they have no 
financial relationships at present or within the previous three years with any 
organizations that might have an interest in the submitted work. Other 
relationships: All authors have declared that there are no other relationships 
or activities that could appear to have influenced the submitted work.","The vaccination drive for COVID-19 was launched in India after the authorization of ChAdOx1 nCov-19 (Covishield), an adenoviral vector vaccine. The time from vaccination can help identify adverse events directly related to vaccination. Patients developed thromboembolic events and neuromuscular diseases. Patients admitted with cerebrovascular diseases also had higher mortality."
39540730,"1. Eur J Cardiothorac Surg. 2024 Nov 14:ezae410. doi: 10.1093/ejcts/ezae410.
Online  ahead of print.

Intensive care unit admissions following enhanced recovery video-assisted 
thoracoscopic surgery lobectomy.

Visby L(1), Secher EL(2), Møller-Sørensen H(2), Kehlet H(3), Petersen RH(1).

Author information:
(1)Department of Cardiothoracic Surgery, Copenhagen University Hospital, 
Rigshospitalet, Denmark.
(2)Department of Cardiothoracic Anesthesiology, The Heart Centre, 
Rigshospitalet, Denmark.
(3)Section of Surgical Pathophysiology, Copenhagen University Hospital, 
Rigshospitalet, Denmark.

OBJECTIVES: Video-assisted thoracoscopic surgery (VATS) lobectomy combined with 
enhanced recovery after surgery (ERAS) protocols has improved postoperative 
outcomes, yet concerns persist regarding complications and readmissions. Limited 
research has explored intensive care unit (ICU) admissions and outcomes within 
this context. This study aimed to analyze ICU admissions following VATS 
lobectomy within an established ERAS protocol.
METHODS: Consecutive patients who underwent VATS lobectomy between 2018-2023 
were included. Patient data were obtained from our prospective institutional 
database, while ICU data were extracted from electronic patients' records.
RESULTS: Of 2099 patients included, 48 (2.3%) required ICU admission. Median-age 
was 70 (IQR : 64-76), with ICU patients being older and predominantly male 
(73%). Overall 30-day-mortality was 1.0% with an ICU mortality of 31%. Multiple 
logistic regression revealed significant associations between ICU admission and 
male gender (p = <0.001), diabetes mellitus (p = 0.026), heart failure 
(p = 0.040), DLCO%(0.013). Median time to ICU admission was 4 days (IQR : 2-10). 
Respiratory failure was the primary reason for ICU admission (60%). Severe 
surgical complications accounted for 8.3% of all ICU-admissions.
CONCLUSIONS: In an ERAS setting, the incidence of ICU admission following VATS 
lobectomy was 2.3%, with a mortality rate of 31%. Respiratory failure was the 
leading cause of ICU admission.

© The Author(s) 2024. Published by Oxford University Press on behalf of the 
European Association for Cardio-Thoracic Surgery. All rights reserved.

DOI: 10.1093/ejcts/ezae410
PMID: 39540730",Intensive care unit admissions following enhanced recovery video-assisted                 thoracoscopic surgery lobectomy. Respiratory failure was the primary reason for ICU admission. Severe surgical complications accounted for 8.3% of all ICU-admissions.
39497221,"1. Pneumonia (Nathan). 2024 Nov 5;16(1):27. doi: 10.1186/s41479-024-00144-w.

Epidemiology, clinical and biological characteristics, and prognosis of 
critically ill COVID 19 patients: a single-center experience through 4 
successive waves.

Tchakerian S(1), Besnard N(1), Brunot V(1), Moulaire V(1), Benchabane N(1), 
Platon L(1), Daubin D(1), Corne P(1), Machado S(1), Jung B(1)(2), Bendiab E(1), 
Landreau L(1), Pelle C(1), Larcher R(1), Klouche K(3)(4).

Author information:
(1)Department of Intensive Care Medicine, Lapeyronie University Hospital, 
University of Montpellier, 371 Avenue du Doyen Gaston Giraud, 34295, 
Montpellier, France.
(2)PhyMedExp, INSERM (French Institute of Health and Medical Research), CNRS 
(French National Centre for Scientific Research), University of Montpellier, 
School of Medicine, Montpellier, France.
(3)Department of Intensive Care Medicine, Lapeyronie University Hospital, 
University of Montpellier, 371 Avenue du Doyen Gaston Giraud, 34295, 
Montpellier, France. k-klouche@chu-montpellier.fr.
(4)PhyMedExp, INSERM (French Institute of Health and Medical Research), CNRS 
(French National Centre for Scientific Research), University of Montpellier, 
School of Medicine, Montpellier, France. k-klouche@chu-montpellier.fr.

OBJECTIVE: The aim of this study was to describe the characteristics of patients 
admitted to the intensive care unit with severe pneumonia due to SARS-CoV-2, 
comparing them according to successive waves, and to identify prognostic factors 
for morbidity and mortality.
MATERIALS AND METHODS: This single-center retrospective observational 
descriptive study was conducted from March 10, 2020, to October 17, 2021. All 
adult patients admitted with SARS-CoV-2 pneumonia presenting acute respiratory 
failure were included. COVID 19 diagnosis was confirmed by RT-PCR testing of 
respiratory specimens. The primary endpoint was ICU mortality. Secondary 
endpoints were the occurrence of ventilator-associated pneumonia (VAP) or 
bronchopulmonary aspergillosis.
RESULTS: Over the study period, 437 patients were included of whom 282 (65%) 
patients were ventilated for 9 [5;20] days. Among the studied population, 38% 
were treated for one or more episodes of VAP, and 22 (5%) for bronchopulmonary 
aspergillosis. ICU mortality was 26% in the first wave, then fell and stabilized 
at around 10% in subsequent waves (p = 0.02). Increased age, Charlson index, 
SOFA score and lactatemia on admission were predictive of mortality. Survival at 
90 days was 85% (95% CI 82-88) and was unaffected by the presence of VAP. 
However, the occurrence of bronchopulmonary aspergillosis increased mortality to 
36%.
CONCLUSION: In this study, we observed mortality in the lower range of those 
previously reported. Risk factors for mortality mainly included age and previous 
comorbidities. The prognosis of these critically ill Covid 19 patients improved 
over the four waves, underlining the likely beneficial effect of vaccination and 
dexamethasone.

© 2024. The Author(s).

DOI: 10.1186/s41479-024-00144-w
PMCID: PMC11536821
PMID: 39497221

Conflict of interest statement: The authors declare no competing interests.","Pneumonia (Nathan). 2024 Nov 5;16(1):27. The prognosis of these critically ill Covid 19 patients improved over the four waves, underlining the likely beneficial effect of vaccination. ICU mortality was 26% in the first wave, then fell and stabilized at around 10% in subsequent waves."
39496882,"1. Neurocrit Care. 2024 Nov 5. doi: 10.1007/s12028-024-02150-8. Online ahead of 
print.

The Predictive Validity of the Full Outline of UnResponsiveness Score Compared 
to the Glasgow Coma Scale in the Intensive Care Unit: A Systematic Review.

Schey JE(1)(2)(3), Schoch M(4)(5), Kerr D(4)(5)(6).

Author information:
(1)School of Nursing and Midwifery, Faculty of Health, Deakin University, 
Geelong, VIC, Australia. Jaime.schey@deakin.edu.au.
(2)Intensive Care Unit, Royal Melbourne Hospital, Melbourne, VIC, Australia. 
Jaime.schey@deakin.edu.au.
(3)Centre for Quality and Patient Safety Research, School of Nursing and 
Midwifery, Institute for Health Transformation, Deakin University, Geelong, VIC, 
Australia. Jaime.schey@deakin.edu.au.
(4)School of Nursing and Midwifery, Faculty of Health, Deakin University, 
Geelong, VIC, Australia.
(5)Centre for Quality and Patient Safety Research, School of Nursing and 
Midwifery, Institute for Health Transformation, Deakin University, Geelong, VIC, 
Australia.
(6)Deakin University, Western Health Partnership, St Albans, VIC, Australia.

The Full Outline of UnResponsiveness (FOUR) score was developed to overcome the 
limitations of the Glasgow Coma Scale (GCS) when assessing individuals with 
impaired consciousness. We sought to review the evidence regarding the 
predictive validity of the GCS and FOUR score in intensive care unit (ICU) 
settings. This review was prospectively registered in PROSPERO (CRD42023420528). 
Systematic searches of CINAHL, MEDLINE, and Embase were undertaken. Prospective 
observational studies were included if both GCS and FOUR score were assessed in 
adults during ICU admission and if mortality and/or validated functional outcome 
measure scores were collected. Studies were excluded if they exclusively 
investigated patients with traumatic brain injury. Screening, data extraction, 
and quality assessment using the Quality in Prognosis Studies tool were 
conducted by two reviewers. Twenty studies of poor to moderate quality were 
included. Many studies only included patients with neurological illness and 
excluded sedated patients, despite high proportions of intubated patients. The 
FOUR score achieved higher area under the receiver operating characteristic 
curve values for mortality prediction compared with the GCS, and the FOUR score 
achieved significantly higher area under the receiver operating characteristic 
curve values for predictions of ICU mortality. Both coma scales showed similar 
accuracy in predicting ""unfavorable"" functional outcome. The FOUR score appeared 
to be more responsive than the GCS in the ICU, as most patients with a GCS score 
of 3 obtained FOUR scores between 1 and 8 due to preserved brainstem function. 
The FOUR score may be superior to the GCS for predicting mortality in ICU 
settings. Further adequately powered studies with clear, reliable methods for 
assessment of index and outcome scores are required to clarify the predictive 
performance of both coma scales in ICUs. Inclusion of sedated patients may 
improve generalizability of findings in general ICU populations.

© 2024. The Author(s).

DOI: 10.1007/s12028-024-02150-8
PMID: 39496882","The Full Outline of UnResponsiveness (FOUR) score was developed to overcome the limitations of the Glasgow Coma Scale (GCS) The FOUR score appeared to be more responsive than the GCS in the ICU, as most patients with a GCS score of 3 obtained FOUR scores between 1 and 8 due to preserved brainstem function. Both coma scales showed similar accuracy in predicting ""unfavorable"" functional outcome."
39482088,"1. Am J Crit Care. 2024 Nov 1;33(6):446-454. doi: 10.4037/ajcc2024898.

Association of Area Deprivation Index With Mortality in Critically Ill Adults 
With COVID-19.

Harris R(1), Rosser M(2), Chowdhury AM(3), Ohnuma T(4), Raghunathan K(5), Haines 
KL(6), Krishnamoorthy V(7).

Author information:
(1)Ronald Harris is a medical student, Duke University School of Medicine, 
Durham, North Carolina.
(2)Morgan Rosser is a biostatistician, Department of Anesthesiology, Duke 
University School of Medicine.
(3)Anand M. Chowdhury is an assistant professor, Department of Medicine, 
Division of Pulmonary, Allergy, and Critical Care Medicine, Duke University 
School of Medicine.
(4)Tetsu Ohnuma is an assistant professor, Department of Anesthesiology, 
Division of Critical Care Medicine, Duke University School of Medicine.
(5)Karthik Raghunathan is an associate professor, Department of Anesthesiology, 
Division of Critical Care Medicine; Department of Population Health Sciences; 
and Critical Care and Perioperative Population Health Research Program, 
Department of Anesthesiology, Duke University School of Medicine.
(6)Krista L. Haines is an assistant professor, Department of Surgery, Division 
of Trauma, Acute, and Critical Care Surgery, Duke University School of Medicine.
(7)Vijay Krishnamoorthy is an associate professor, Department of Anesthesiology, 
Division of Critical Care Medicine; Department of Population Health Sciences; 
and Critical Care and Perioperative Population Health Research Program, 
Department of Anesthesiology, Duke University School of Medicine.

BACKGROUND: Various social determinants of health have been established as 
significant risk factors for COVID-19 transmission, prevalence, incidence, and 
mortality. Area deprivation index (ADI, a composite score made up of 
educational, housing, and poverty markers) is an accepted multidimensional 
social determinants of health measure. Little is known about how structural 
social determinants of health before hospitalization, including ADI, may affect 
mortality related to COVID-19 in critically ill patients.
OBJECTIVES: To examine the association of ADI with intensive care unit (ICU) 
mortality in patients with COVID-19 and compare its predictive power with that 
of clinical factors.
METHODS: This was a retrospective cohort study of critically ill adults with 
COVID-19 in 3 hospitals within a single health system. Multivariable logistic 
regression models (adjusted for demographic and clinical variables) were used to 
examine the association of ADI with ICU mortality.
RESULTS: Data from 1784 patients hospitalized from 2020 to 2022 were analyzed. 
In multivariable models, no association was found between national ADI and ICU 
mortality. Notable factors associated with ICU mortality included treatment 
year, age, van Walraven weighted score, invasive mechanical ventilation, and 
body mass index.
CONCLUSION: In this study, clinical factors were more predictive of mortality 
than ADI and other social determinants of health. The influence of ADI may be 
most relevant before hospital admission. These findings could serve as a 
foundation for shaping targeted public health strategies and hospital 
interventions, enhancing care delivery, and potentially contributing to better 
outcomes in future pandemics.

©2024 American Association of Critical-Care Nurses.

DOI: 10.4037/ajcc2024898
PMID: 39482088 [Indexed for MEDLINE]",Association of Area Deprivation Index With Mortality in Critically Ill Adults With COVID-19. Am J Crit Care. 2024 Nov 1;33(6):446-454.doi: 10.4037/ajcc2024898.
39473000,"1. J Intensive Care. 2024 Oct 29;12(1):42. doi: 10.1186/s40560-024-00757-9.

Height status matters for risk of mortality in critically ill children.

Nosaka N(1), Anzai T(2), Wakabayashi K(3).

Author information:
(1)Department of Intensive Care Medicine, Graduate School of Medical and Dental 
Sciences, Institute of Science Tokyo, 1-5-45 Yushima, Bunkyo-Ku, Tokyo, 
113-8510, Japan. nnosaka.ccm@tmd.ac.jp.
(2)Department of Biostatistics, M&D Data Science Center, Institute of Integrated 
Research, Institute of Science Tokyo, Tokyo, Japan.
(3)Department of Intensive Care Medicine, Graduate School of Medical and Dental 
Sciences, Institute of Science Tokyo, 1-5-45 Yushima, Bunkyo-Ku, Tokyo, 
113-8510, Japan.

BACKGROUND: Anthropometric measurements are crucial in pediatric critical care, 
but the impact of height on ICU outcomes is underexplored despite a substantial 
number of short-for-age children in ICUs. Previous studies suggest that short 
stature increases the risk of poor clinical outcomes. This study examines the 
relationship between short stature and ICU outcomes.
METHODS: We conducted a retrospective cohort study using a Japanese nationwide 
database (the Japanese Intensive Care Patient Database; JIPAD), which included 
pediatric patients under 16 years admitted to ICUs from April 2015 to March 
2020. Height standard deviation scores (SD scores) were calculated based on age 
and sex. Short-stature patients were defined as height SD score <  - 2. The 
primary outcome was all-cause ICU mortality, and the secondary outcome was the 
length of stay in ICU.
RESULTS: Out of 6,377 pediatric patients, 27.2% were classified as having short 
stature. The ICU mortality rate was significantly higher in the short-stature 
group compared to the normal-height group (3.6% vs. 1.4%, p < 0.01). 
Multivariable logistic regression showed that short stature was independently 
associated with increased ICU mortality (OR = 2.73, 95% CI 1.81-4.11). 
Additionally, the Fine-Gray subdistribution hazards model indicated that short 
stature was associated with a lower chance of ICU discharge for each additional 
day (HR 0.85, 95% CI 0.81-0.90, p < 0.01).
CONCLUSIONS: Short stature is a significant risk factor for increased ICU 
mortality and prolonged ICU stay in critically ill children. Height should be 
considered in risk assessments and management strategies in pediatric intensive 
care to improve outcomes.

© 2024. The Author(s).

DOI: 10.1186/s40560-024-00757-9
PMCID: PMC11520838
PMID: 39473000

Conflict of interest statement: The authors declare that they have no competing 
interests.",Short stature is a significant risk factor for increased ICU mortality and prolonged ICU stay in critically ill children. Height should be considered in risk assessments and management strategies in pediatric intensive care to improve outcomes. J Intensive Care 2024 Oct 29;12(1):42.
39443937,"1. BMC Med. 2024 Oct 23;22(1):488. doi: 10.1186/s12916-024-03705-4.

Association of systemic corticosteroid use with prognosis of patients with acute 
exacerbations of chronic obstructive pulmonary disease in the intensive care 
unit: a propensity score-matched cohort study.

Bai L(1), Zhu P(1), Pan T(1), Liu Y(1), Xu Y(2), He H(3), Zhou X(4).

Author information:
(1)Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu 
Province Hospital of Chinese Medicine, 155 Hanzhong Road, Nanjing, Jiangsu 
Province, 210029, People's Republic of China.
(2)School of Chinese Medicine, Nanjing University of Chinese Medicine, 138 
Xianlin Road, Nanjing, Jiangsu Province, 210029, People's Republic of China. 
njzyyxuyong@163.com.
(3)Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu 
Province Hospital of Chinese Medicine, 155 Hanzhong Road, Nanjing, Jiangsu 
Province, 210029, People's Republic of China. lyghehailang@163.com.
(4)Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu 
Province Hospital of Chinese Medicine, 155 Hanzhong Road, Nanjing, Jiangsu 
Province, 210029, People's Republic of China. zhouxianmeijsszyy@163.com.

BACKGROUND: Systemic corticosteroid has been recommended for the treatment of 
severe acute exacerbations of chronic obstructive pulmonary disease (AECOPD). 
Little is known about the use of systemic corticosteroid in patients admitted to 
intensive care units (ICU) since most of previous trials excluded these 
critically ill patients.
METHODS: We conducted a matched cohort study based on the Medical Information 
Mart in Intensive Care-IV database. Patients with AECOPD in ICUs were included. 
Patients in the exposure group should be intravenously administrated with 
methylprednisolone or treated with oral prednisone within 24 h after ICU 
admission. The propensity score matching and multivariable analyses were used to 
adjust for covariates. The primary outcome was 28-day mortality, and secondary 
outcomes included ICU mortality, in-hospital mortality, the duration of ICU 
stay, and mechanical ventilation. Subgroup analyses for the primary outcome were 
performed according to age, sex, type of corticosteroid, type of ICU admission, 
type of mechanical ventilation, and co-morbidities/complications.
RESULTS: The entire cohort and the matched cohort included 763 and 412 patients, 
respectively. In the matched cohort, the use of systemic corticosteroid had no 
impact on 28-day mortality (OR: 1.00, 95% CI: 0.61-1.64, P = 1.000). The results 
kept consistent in all subgroups. Additionally, systemic corticosteroid showed 
no benefits on ICU mortality, in-hospital mortality, the length of ICU stay, and 
the duration of mechanical ventilation.
CONCLUSIONS: The results of this study do not support routine use of systemic 
corticosteroid in patients with AECOPD admitted to ICUs.

© 2024. The Author(s).

DOI: 10.1186/s12916-024-03705-4
PMCID: PMC11515503
PMID: 39443937 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.","Systemic corticosteroid has been recommended for the treatment of acute exacerbations of chronic obstructive pulmonary disease (AECOPD) Little is known about the use of systemic cortiosteroid in patients admitted to intensive care units (ICU) The primary outcome was 28-day mortality, and secondary outcomes included ICU mortality, in-hospital mortality, the duration of ICU stay, and mechanical ventilation."
39366492,"1. Respir Med. 2024 Oct 2;234:107823. doi: 10.1016/j.rmed.2024.107823. Online
ahead  of print.

Severe community-acquired pneumonia at a tertiary academic hospital in 
Johannesburg, South Africa.

Venturas JP(1), Richards GA(2), Feldman C(3).

Author information:
(1)Department of Internal Medicine, Faculty of Health Sciences, University of 
the Witwatersrand Medical School, Johannesburg, South Africa. Electronic 
address: jpventuras@gmail.com.
(2)Dept of Surgery, Division of Critical Care, Faculty of Health Sciences, 
University of the Witwatersrand, Johannesburg, South Africa. Electronic address: 
Guy.richards@wits.ac.za.
(3)Department of Internal Medicine, Faculty of Health Sciences, University of 
the Witwatersrand Medical School, Johannesburg, South Africa. Electronic 
address: charles.feldman@wits.ac.za.

PURPOSE: There is a paucity of data from sub-Saharan Africa describing Severe 
Community Acquired Pneumonia (SCAP), a condition with significant morbidity and 
mortality.
MATERIALS AND METHODS: This was a retrospective, single-centre, observational 
study of consecutive patients with SCAP admitted to the ICU at Charlotte Maxeke 
Johannesburg Academic Hospital, in South Africa between 1 July 2007 and 31 May 
2019. Pneumonia was categorised as community-acquired if there had been no 
hospitalization in the preceding 2 weeks.
RESULTS: We identified 931 patients, (median age 37 [IQR 30-48] years), with the 
predominant co-morbidity being HIV co-infection (77.1 %). The median CURB-65 and 
APACHE II scores were 3 (IQR 2-3) and 18 (IQR 14-23) respectively, and most 
patients had multilobar consolidation on chest X-ray. Mycobacterium tuberculosis 
was the most common aetiology, followed by Streptococcus pneumoniae. The latter, 
and Pneumocystis jirovecii were more common amongst survivors and non-survivors, 
respectively. ICU mortality was 50.1 % and 85 % of patients required 
ventilation, mostly invasive mechanical ventilation. Ventilated patients and 
those requiring inotropic support and/or dialysis were more likely to die.
CONCLUSION: We have described a cohort of patients with SCAP, with a 
comprehensive overview of all putative microbiological causes, which to our 
knowledge, is the largest reported in the literature.

Copyright © 2024 The Authors. Published by Elsevier Ltd.. All rights reserved.

DOI: 10.1016/j.rmed.2024.107823
PMID: 39366492

Conflict of interest statement: Declaration of competing interest CF acts on the 
Speaker's bureau of Sandoz and Aurogen. All the other authors declare that they 
have no conflict of interests in relation to this manuscript.","Severe community-acquired pneumonia at a tertiary academic hospital in Johannesburg, South Africa. Mycobacterium tuberculosis was the most common aetiology, followed by Streptococcus pneumoniae. ICU mortality was 50.1% and 85% of patients required mechanical ventilation. Ventilated patients and those requiring inotropic support and/or dialysis were more likely to die."
39362971,"1. Sci Rep. 2024 Oct 3;14(1):22954. doi: 10.1038/s41598-024-74177-y.

Acute kidney injury developed in the intensive care unit: a population-based 
prospective cohort study in the Brazilian Amazon.

Melo FAF(1), Burdmann EA(2), Macedo E(3), Mehta R(3), Zanetta DMT(4).

Author information:
(1)Division of Urology, Acre Federal University, Rio Branco, Acre, Brazil.
(2)Laboratório de Investigação (LIM) 12, Serviço de Nefrologia, Faculdade de 
Medicina da Universidade de Sao Paulo, São Paulo, Brazil.
(3)Department of Medicine, University of California San Diego (UCSD), San Diego, 
CA, USA.
(4)Department of Epidemiology, School of Public Health, University of São Paulo, 
São Paulo, São Paulo, Brazil. dzanetta@usp.br.

The Brazilian Amazon is a vast area with limited health care resources. To 
assess the epidemiology of critically ill acute kidney injury (AKI) patients in 
this area, a prospective cohort study of 1029 adult patients of the three 
intensive care units (ICUs) of Rio Branco city, the capital of Acre state, were 
evaluated from February 2014 to February 2016. The incidence of AKI was 53.3%. 
Risk factors for AKI included higher age, nonsurgical patients, admission to the 
ICU from the ward, higher Acute Physiology and Chronic Health Evaluation 
(APACHE) II scores at ICU admission, and positive fluid balance > 1500 ml/24 
hours in the days before AKI development in the ICU, with aOR of 1.3 (95% CI 
1.03-1.23), 1.47 (95% CI 1.07-2.03), 1.96 (95% CI 1.40-2.74), 1.05 (95% CI 
1.03-1.08) for each unit increase, and 1.62 (95% CI 1.16-2.26), respectively. 
AKI was associated with higher ICU mortality (aOR 2.03, 95% CI 1.29-3.18). AKI 
mortality was independently associated with higher age, nonsurgical patients, 
sepsis at ICU admission, presence of shock or use of vasoactive drugs, 
mechanical ventilation and mean positive fluid balance in the ICU > 1500 ml/24 
hours, both during ICU follow-up, with aOR 1.27 (95% CI 1.14-1.43) for each 
10-year increase, 1.64 (95% CI 1.07-2.52), 2.35 (95% CI 1.14-4.83), 1.88 (95% CI 
1.03-3.44), 6.73 (95% CI 4.08-11.09), 2.31 (95% CI 1.52-3.53), respectively. 
Adjusted hazard ratios for AKI mortality 30 and 31-180 days after ICU discharge 
were 3.13 (95% CI 1.84-5.31) and 1.69 (95% CI 0.99-2.90), respectively. AKI 
incidence was strikingly high among critically ill patients in the Brazilian 
Amazon. The AKI etiology, risk factors and outcomes were similar to those 
described in high-income countries, but mortality rates were higher.

© 2024. The Author(s).

DOI: 10.1038/s41598-024-74177-y
PMCID: PMC11452208
PMID: 39362971 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no competing interests.","Acute kidney injury developed in the intensive care unit: a population-based prospective cohort study in the Brazilian Amazon. The incidence of AKI was 53.3%. Risk factors for AKI included higher age, nonsurgical patients, admission to the ICU from the ward, higher Acute Physiology and Chronic Health Evaluation (APACHE) II scores."
